idProducto,idInsumo,porcion
6,PL9304206,21.38
10,QG8913706,14.79
30,OY6812395,19.72
19,XA2650786,33.91
31,GF1612694,6.17
20,AI2722825,26.6
7,KY3003192,14.59
16,AX5689194,8.05
6,UW0678347,18.92
28,ZL4691696,4.45
4,YB8261003,7.67
21,YB4438479,35.48
30,IR8845922,5.18
24,PL3057560,36.53
23,VS3557515,7.03
27,MP9575353,34.06
4,IE0152979,25.01
30,WU7069326,14.4
22,IU6583217,39.58
31,IB8727504,21.45
18,DR3896945,6.55
5,WG8028338,41.75
26,UC5856487,10.07
5,CV8862953,31.58
18,EU4248852,15.43
21,WA0211167,30.97
21,UN8235772,8.57
29,UT7912791,16.09
26,QU2636475,28.21
15,UH7479989,34.83
23,AD7005279,27.83
26,FB7635996,22.41
11,XE9583277,45.96
13,NM5523870,5.47
8,OY6812395,14.77
1,SR1939840,18.85
2,UJ7429507,10.31
21,UO3240581,24.7
22,OC7846393,45.98
22,VQ5078818,19.3
6,RF4063356,27.59
30,UC8391387,43.27
31,HV8763154,18.3
19,BK9026437,6.99
3,RY7684040,18.24
2,YZ1781077,42.64
2,WE4053701,26.53
11,SF1706108,39.91
18,DX0364409,6.47
9,AD7005279,41.45
19,VW8804319,20.77
24,DF1682593,49.05
9,NQ0631928,34.42
14,SS1472051,14.2
13,DO1629842,44.11
8,MW0385053,37.69
22,QI3971946,43.75
28,MP9575353,36.81
17,UM8948292,4.95
18,KB6467374,32.99
16,UE1760757,8.3
26,GL8567045,32.28
20,OT8969976,45.5
31,MZ0992512,29.25
25,FP2056199,12.39
2,RZ3269042,28.61
19,XI6149956,16.62
26,TJ5528620,48.25
6,PV5839302,27.02
14,BW9005329,11.71
21,XU7985163,48.17
30,RN6978323,29.67
24,ME6923618,37.38
2,BN4529997,14.11
19,YF3013349,40.84
8,WS3721261,11.57
17,HY6005726,7.61
28,UW8402482,35.79
14,HY7286024,49.25
12,SC3071262,10.93
10,BV8135612,15.18
30,WE4053701,43.51
14,RM0422650,14.58
14,KJ0734315,42.07
12,CS9348067,37.0
2,YB8261003,43.88
1,HZ9292000,34.03
16,XU2564622,23.12
17,OI1957263,25.53
3,SF6111296,28.85
16,ZH1356292,22.46
24,OS5298546,47.57
30,VX9261158,26.44
13,JQ5103170,47.54
5,YV9388620,16.58
1,UG4675407,45.53
2,LG3185677,30.4
13,ZE5877418,33.12
20,TT7608971,8.59
12,LO9817596,38.07
28,AD7005279,26.01
3,MR0113813,27.76
1,VQ5078818,10.97
28,YT5936527,28.19
17,BR2524461,24.82
5,SU3836448,8.93
21,PK8204585,15.33
19,QO3506149,38.87
25,MC0445937,11.79
26,OM2778626,48.87
29,DL1374127,29.32
6,LO9817596,34.58
10,MH8317584,7.54
29,FE4782228,34.0
25,LO8256111,3.77
30,UY5010826,44.26
12,IS0849352,42.0
29,AH8980015,2.96
14,OZ2583172,10.03
1,GS6681536,25.75
11,MN8930065,6.87
9,SJ1574065,3.66
3,HM4589163,11.92
9,LH4944177,45.9
20,RY8015023,6.84
11,LC7856802,19.57
5,LO8256111,14.81
20,XN4470288,41.9
31,PV5839302,25.18
10,VG1913021,24.43
9,SL8481380,49.3
9,DF1682593,49.03
14,MP0387613,31.37
14,KF6126889,41.78
22,AZ9272871,47.87
4,HK5139500,12.8
22,ER2874518,19.01
11,UW8402482,24.95
28,IS2786947,41.96
25,ZL4691696,18.25
18,ER6546305,33.42
26,OM2483238,1.19
19,XI2563654,22.77
29,TD2186528,13.3
8,XC3971061,35.06
19,NU4088385,21.95
30,RI5790263,34.82
7,FA9240203,49.69
17,IR8845922,34.69
22,TJ5528620,18.93
14,PR7734190,2.53
27,NW4314470,31.4
21,HJ0825666,22.32
3,OZ4655622,11.07
27,OR6463986,8.92
17,MN8930065,38.24
4,CN1488562,42.28
12,RY7684040,34.13
2,WU0782000,24.58
4,MC0445937,27.02
14,DJ7702487,46.42
22,YC3729846,12.77
26,WU7069326,23.71
28,JO3487293,43.24
23,OM2483238,29.5
2,CH2324061,1.53
20,CW4407262,9.04
24,XK2234752,34.47
24,SF8337084,48.69
9,TY1610388,16.96
30,UM6862541,32.93
10,YG7401081,3.76
20,PT0674460,34.32
13,BE5857841,2.76
31,GK4090351,22.4
13,VM3207027,47.69
7,RM0422650,33.64
3,BW9005329,16.33
25,JY4949482,5.53
26,QI3971946,5.43
28,OR6463986,13.48
13,KN4697146,6.96
1,IK9394551,20.29
8,HN1699702,31.89
18,YV3531657,20.08
17,DR2184321,39.25
18,ND3617363,47.24
11,LA2504060,29.63
4,AG7206958,14.47
26,OC9481118,16.43
2,TZ7870847,2.76
3,JP6652403,28.14
16,MR0113813,28.83
22,OK1160442,8.13
17,UG4675407,29.87
7,KS1796200,38.91
23,OZ4655622,38.61
11,VS7779220,36.04
12,MO4764216,46.78
26,JO3487293,6.34
