idProducto,precio,fecha
13,25.07,2020/08/01
2,143.69,2017/10/07
8,63.75,2018/05/05
1,88.09,2021/08/30
14,54.27,2019/08/07
10,148.07,2020/01/02
6,42.44,2022/01/14
5,122.74,2020/05/06
3,113.08,2016/10/16
7,70.52,2019/09/09
11,41.75,2022/05/21
4,50.84,2020/08/26
6,41.6,2022/04/01
5,83.69,2020/09/26
10,97.81,2022/01/11
2,85.74,2018/04/16
7,35.79,2016/02/06
9,86.56,2017/03/25
12,149.11,2019/12/30
15,53.8,2015/09/08
15,33.82,2021/03/06
6,103.25,2017/03/15
2,128.8,2019/05/20
11,92.84,2018/11/05
7,73.6,2021/08/30
2,94.06,2016/10/12
6,77.56,2018/07/12
10,17.75,2015/07/06
5,110.61,2016/12/31
11,2.55,2018/10/16
2,139.08,2017/09/17
15,149.08,2016/02/17
14,19.56,2020/04/11
13,44.76,2016/10/17
6,45.07,2019/10/18
9,38.0,2020/03/23
13,144.74,2019/07/01
6,60.05,2020/11/17
1,82.37,2020/05/31
15,26.35,2020/12/29
1,83.77,2019/05/18
12,126.27,2020/04/08
5,115.89,2021/05/16
12,142.1,2016/06/13
14,58.2,2018/09/25
9,44.43,2019/12/05
1,58.43,2015/12/31
12,47.1,2021/06/21
8,141.3,2016/11/02
2,14.16,2021/10/31
5,27.02,2020/11/20
4,17.8,2021/05/14
8,101.51,2019/03/03
12,59.03,2016/12/06
6,144.31,2022/05/09
7,68.41,2015/12/17
2,60.23,2019/05/05
3,58.38,2021/12/05
1,100.54,2021/03/24
2,127.1,2016/12/22
6,133.86,2018/07/16
1,85.95,2021/08/17
9,78.79,2019/09/20
9,8.13,2021/02/27
5,48.19,2015/12/07
11,55.57,2018/11/27
6,129.05,2015/12/23
7,62.68,2021/09/11
6,112.59,2017/11/04
10,24.32,2021/11/03
12,106.06,2016/05/25
4,1.47,2021/08/19
10,6.21,2022/01/03
15,69.13,2019/06/28
5,131.31,2017/01/06
11,105.94,2021/04/16
15,136.5,2019/11/03
11,124.39,2017/07/14
9,92.94,2022/04/01
1,49.28,2016/07/21
3,70.55,2021/03/24
7,15.42,2018/09/15
4,128.92,2020/06/23
1,53.12,2017/11/20
2,19.6,2022/06/04
7,114.34,2019/04/16
14,4.12,2015/11/02
4,10.98,2016/03/16
13,105.14,2022/06/10
1,28.99,2019/12/14
5,30.05,2021/12/28
12,78.01,2017/05/26
11,32.85,2019/10/08
10,109.55,2016/07/26
14,21.65,2018/07/02
7,119.61,2015/06/26
3,42.18,2019/12/27
9,97.75,2016/12/22
14,25.09,2020/12/02
3,53.64,2019/06/15
