idSucursal,nombreSucursal,rfc,correo,telefono,estado,calle,municipio,numero,cp
1,"Kulas, Wehner and Dach",UKZE783846SQB,rrenny0@yale.edu,6866286476,Yucatan,Wayridge,San Jernimo Zacualpan,5248,46990
2,Lebsack and Sons,NXQS201329LQY,gpinkard1@canalblog.com,3391675773,Chihuahua,Merry,Pluma Hidalgo,7970,12370
3,"Homenick, Boyle and Mueller",OQTL066361EQC,rgirardot2@google.ca,5807530855,Sinaloa,Dayton,Nicols Flores,5,95010
4,Corkery-Rutherford,UDBC157790JID,lhurlin3@lulu.com,7882329960,Puebla,Golf View,Angamacutiro,90536,86270
5,"Wisoky, Nienow and Ondricka",JETV405756QNH,jledgley4@java.com,7923215602,Tlaxcala,Ridgeway,Villa Jurez,21,40020
6,Jast and Sons,JSFT227177DCX,cstott5@ycombinator.com,7348308555,San Luis Potosi,Petterle,General Trevio,6312,98980
7,"Kunde, Morar and Zulauf",NFBH149405EBI,cdriver6@independent.co.uk,8107679272,Chihuahua,Saint Paul,San Sebastin del Oeste,0,46410
8,Hoppe-Carroll,SGIA985417LQN,oparmiter7@archive.org,3705616535,Tamaulipas,Mendota,Tepeyahualco de Cuauhtmoc,29752,58910
9,Grady and Sons,RUNS308005LMJ,ccockerell8@patch.com,5868663911,Oaxaca,Maple,Huehuetln el Chico,1053,34410
10,"Hilpert, Kessler and VonRueden",DPRX415382KPA,mloweth9@hostgator.com,1442831455,Campeche,Dunning,San Juan Lachigalla,48,90060
11,"Waelchi, Schuster and Klein",RFQQ718811JGU,vfarnhilla@feedburner.com,283935091,Campeche,Monica,Tlacotepec Plumas,89724,80490
12,"Marquardt, Doyle and Hauck",HWXG122609AES,rrushb@flickr.com,834851717,Nayarit,Lindbergh,Villa de Etla,28,44560
13,"Sporer, Carter and Davis",BXPC799281SXO,efrostickc@abc.net.au,3236093086,Colima,Waywood,Amixtln,8590,26660
14,"Halvorson, Donnelly and Reichel",MWDW460227JLC,lcasined@vimeo.com,5547395451,Baja California Sur,South,San Rafael,44000,77310
15,Yundt Group,EXIU067839IPN,netucke@china.com.cn,8271556318,Zacatecas,Lighthouse Bay,San Pedro Sochipam,9,47590
16,Hoppe-Koelpin,UTRJ276593DMG,acarsonf@tuttocitta.it,6171830955,San Luis Potosi,Washington,General Felipe ngeles,364,36730
17,Stark-Moen,AADT764523IFM,dgiacopelog@ebay.co.uk,4206479831,Guerrero,Forest Run,Santiago Apoala,9585,26160
18,Considine-Willms,MSVG770590ICN,bpomphreyh@fema.gov,603924310,Oaxaca,Spaight,Xochiapulco,846,42040
19,Witting Group,TARD957704KBW,idebenedittii@reddit.com,7850598808,San Luis Potosi,Dwight,Escobedo,753,95140
